token,tf,df,tf-idf
營收達,14,12,1.335229443049569
新任,14,12,1.3346361730708471
泰金開,13,12,1.334497472465236
收高標,10,10,1.3331709166405852
牽動台,15,15,1.3331110996076787
乙盛,13,12,1.3321371325647149
理想,17,17,1.3316027935973804
打進,13,11,1.3315857676748832
股達,14,14,1.3313126668402346
資續,15,15,1.331270040473338
會有,13,13,1.3307671446249223
締造,14,13,1.3305521619847884
現拉回,14,14,1.3300929454370929
新集,13,10,1.3298808287905692
大地,11,7,1.3298642147074307
客戶訂,13,13,1.3289688115076432
電與鴻海,14,12,1.3283737106408173
今台,15,14,1.3280724420905785
一現,12,10,1.3273735846807393
高下,13,13,1.327189454637549
增成,15,14,1.3269421188518158
智易,12,11,1.325878012643919
硬挺,14,12,1.3252676996566892
證券台,14,14,1.3248970465292476
體來,15,15,1.3243667450117442
今高,14,9,1.3237938681883916
擺尾,14,12,1.3237917234415972
重擊,13,12,1.3237562168748798
即時,9,9,1.32363973224236
日車,15,15,1.3230084384703842
顯得,13,13,1.322626951561449
比約,17,17,1.3226074164174721
代理,15,14,1.3225694553020246
權王,13,13,1.3218651891013062
光產能,14,11,1.321629456859724
碩台,13,12,1.3208462307578812
僅靠,13,13,1.3203389645885029
股月,14,14,1.32027393632674
傳將,13,12,1.319901058766859
低進,14,12,1.319853801049914
猛烈,16,15,1.3191458656060764
防線,14,12,1.3175722361974376
提及,17,13,1.3167630958627907
衝高到,15,14,1.3167446609498732
乖離,14,12,1.3165917623529308
點擊者,16,15,1.31616519102036
應謹慎,18,17,1.3157307120212771
已連,14,14,1.3155590356974929
活蹦,13,12,1.315293484469692
趨勢線,15,12,1.3149909523157521
七月,17,12,1.314701672497836
華新,14,14,1.3142037183438273
貨賣,12,12,1.314120520572716
首選,14,13,1.3140917219367543
期貨淨,14,14,1.314064932579436
略低,13,13,1.313104622662832
沙烏地,16,16,1.312980914249634
國際盤,12,12,1.3120379155097333
並創,16,16,1.3118894561527454
廖哲宏,15,11,1.310654013985086
參加,16,14,1.310343002642102
服務業,16,15,1.3102870676311
言論,16,16,1.30996498547118
新日,16,14,1.3096944084994768
鎖死,15,12,1.3095407411234437
究竟,17,14,1.3094004529502252
盤過,14,13,1.309058651525898
報陳昱光,14,13,1.308946750921415
及國,17,17,1.308749346491045
狂飆,13,13,1.3082240105275185
電中,15,13,1.3080244742055422
和解,16,12,1.3077250272831946
股友,13,13,1.307119931574597
鼎中,15,15,1.3068698693056198
日舉,13,12,1.3063208632450536
矽統,16,13,1.3056436620847993
激戰,13,12,1.304969573490776
逾元,13,12,1.3044919433358326
下彎,15,14,1.3043584054571178
穩年線,16,16,1.3041364000009044
單量,17,11,1.3038581644687253
中外,12,12,1.3038237412452687
貨買,11,11,1.3036936602639932
永昌,24,14,1.3036684211731095
股價彈,13,11,1.3033946813164583
升幅,15,13,1.303360573244415
本來,13,12,1.3027262830420308
似有,14,12,1.3016888923003442
動力,12,12,1.3014439919809266
基泰,15,13,1.3013371810528924
中杰,13,11,1.3012390567868026
還原,16,14,1.3012281579600924
平倉,16,15,1.3011484932535367
力推,14,13,1.3008469899690334
電外,13,13,1.30080614671958
台幣元,13,13,1.3008019623726155
倒地,14,10,1.3003047682857987
網站,15,11,1.3002389884800767
額度,11,10,1.3002307894943463
造紙類,17,17,1.2993969753127794
超期,12,12,1.2992153456816464
瑞昱,16,15,1.2991646948285225
破年,12,12,1.298896838301408
壓縮,14,14,1.2987903345419642
漲盤,12,12,1.297955791500765
觀察盤,12,12,1.29792495405294
中國長,14,14,1.2972862717724025
哪裡,15,12,1.2968685786044998
口元大,11,11,1.2968238371463363
停泊,14,12,1.2966283546670576
股齊揚,13,13,1.2961305721499559
價溢價,38,28,1.2961248945696662
不得,19,17,1.296105021869962
平衡,14,14,1.2958197485572023
滿足,15,13,1.2957625809821396
麗豐,14,10,1.2957447704319964
德宏,12,10,1.295649120206217
結算前,13,13,1.2956171902204183
回盤勢,8,8,1.2955392243205168
大金兆,14,14,1.2952541970427793
貿然,14,14,1.2945384739001708
過短,16,15,1.2928999324634685
善用,16,15,1.2928999324634685
效率,17,15,1.2924359539405168
一碼,15,13,1.2920812620823339
回時,14,14,1.2913050997037583
資圈,14,12,1.2907887243577738
通路商,15,12,1.2907165145771526
但鴻海,14,11,1.2901194334622323
驚漲,15,14,1.2900618277376286
等到,18,17,1.289957521552464
電嘉聯益,13,13,1.2896845323054995
略微,15,14,1.2895002139967529
美商,14,14,1.2889536107430408
城池,12,12,1.288585523403033
超近,15,15,1.2878754274887712
二哥,16,13,1.2872751493837185
黑道,11,10,1.287153691314668
事情,24,11,1.2867437430723447
委員會,19,19,1.28670148831994
資力,13,11,1.2866375797290663
高達家,13,11,1.2864096475825977
有個,16,12,1.2863843597431672
大金,19,17,1.2851217087449782
