token,tf,df,tf-idf
技術面,1634,1431,73.35622531843734
加碼,1490,1241,73.31159932381587
減碼,1418,1060,73.25755127495061
平均,1802,990,73.1536936975705
上半年,1441,915,72.8775760780531
買超,1355,916,72.86751729351202
董事,1486,1094,72.85540976364724
大幅,1529,1308,72.85431754103857
新低,1388,1048,72.78072703429146
力守,1298,1026,72.38348417712483
周二,1069,528,72.25785887591084
大量,1368,931,72.08181118495959
王大立光,1289,1215,71.93576076582904
新機,1319,938,71.80971828780177
近日,1339,1042,71.60199481248696
證券,1365,1009,71.32307990093338
客戶,1487,1041,71.24447737962502
風險,1419,1130,71.2416691444504
疲弱,1318,1124,71.15873542411975
電大立,1231,1124,70.98102198805344
上周五,1409,721,70.97680740254454
變化,1565,1107,70.2749667862689
持股,1397,986,70.1756092898391
收漲,1166,834,69.7713771205787
超張,1808,308,69.63532209728112
延續,1399,1106,69.52505280304112
偏多,1308,1033,69.14637098045786
內容,1568,1408,69.0785621019372
挑戰,1344,1096,68.94996966837272
亮眼,1382,1188,68.94423697297509
可以,1443,959,68.73821840229495
合計,1667,1584,68.54779970617385
收元,921,461,68.33900117288668
放大,1519,1106,68.32102086572061
此外,1406,1184,68.29869919594029
幅度,1254,957,68.25451456322814
毛利率,1262,825,68.22522137209505
矽晶圓,1367,1076,68.21832612017467
呈現,1325,1110,68.14551293647402
左右,1160,935,68.07436301425408
營業,2209,319,68.06454117440036
重要,1415,1192,67.83282052481646
銷售,1328,1021,67.70722778682796
金富,1160,997,67.65179732311466
下滑,1220,952,67.2054943797835
貿易戰,1277,917,67.0743783916609
因為,1394,968,67.04215423240203
關注,1296,1073,66.94251464856548
上下,1281,1069,66.88309892473545
抗跌,1197,871,66.85264089822847
自營商,762,621,66.56310839896992
普遍,1234,1052,66.52280052501348
多單,1347,1014,66.13592561179068
四大,1404,1207,66.10357263040294
到點,1084,940,65.7765893594134
上漲,1342,1137,65.76477484632086
光學,1160,865,65.67332733813237
物料,1147,872,65.50008830524177
新聞,1300,1213,65.42193471118915
收紅,1218,945,65.42050263298346
富邦,1195,931,65.3064407107145
金台,1024,857,65.23076836541352
月線,1198,930,65.16008524177316
小幅,1168,1018,65.14377151457893
來源,1176,1166,65.00900213384718
