token,tf,df,tf-idf
不佳台,9,9,0.7856965539099097
點或收,8,7,0.7856593202518711
來要,8,8,0.7855115400534904
先價行,8,6,0.7853952262769714
慘重,9,8,0.7849605021405316
安成,8,7,0.7847135722740374
聚鼎,8,7,0.7847039840222386
依賴,10,9,0.7834998274613796
出擊,9,8,0.7833211065316192
常態,8,8,0.7832782979566724
登頂,9,8,0.7831151926786373
前鏡頭,11,9,0.7827909356689254
倉口數,13,8,0.7824443131328738
數持續,9,8,0.7824086368542086
沙國,8,7,0.7823379671559538
經濟體,9,9,0.7822664089152089
兩者,10,9,0.7817568550783147
修憲,9,5,0.7813288565363519
病毒,9,8,0.7808264559001012
購入,10,8,0.7802813960876737
聯盟,9,8,0.7798930043031219
找到,12,11,0.7796663901670293
週五上,8,8,0.7796567954014606
漲盤,8,8,0.7795903791795992
年合,10,10,0.7782704180105026
鼓勵,9,8,0.7779788689155367
暫以,8,8,0.7779701558518906
轉入,9,8,0.7778294515871655
賣盤,9,9,0.7776159130284631
創股,8,8,0.7775157609235304
中科,10,6,0.7774527666750728
里拉,8,6,0.7772538413345644
股價亮,8,8,0.7771888377213805
富售,14,10,0.776692683807655
股盤勢,8,8,0.7766106059083587
仰賴,8,8,0.7762778205799884
醫半導體,8,8,0.7761899723269537
先大盤,8,8,0.7747757892096395
資億元,9,8,0.7743984029771064
鐘國忠,8,6,0.7742313055200554
盛餘,8,8,0.7736283862353058
春雨,10,10,0.7735169596243507
很棒,9,7,0.7733628151344449
車市,9,9,0.7733120203364436
創賣,13,11,0.7731780589162385
領銜,8,7,0.7729065164699863
充裕,9,9,0.7724725712504675
運用,12,12,0.7722945303735536
人口,10,10,0.7720227352870324
回彈,8,8,0.7719494004738385
百萬畫素,8,6,0.7707972102470217
收款,9,7,0.7706860256008179
震旦,9,9,0.7702089925590699
生態,9,9,0.7696344478083906
年減,8,7,0.7694809337855115
及業,10,9,0.7693558628480173
收紅上,8,8,0.7682253761208521
曾經,9,9,0.7678130705926973
億元且,8,8,0.7672713511162617
雙強,9,9,0.7671604432813521
交易成本,9,6,0.7668141772182864
可達,9,9,0.7666887589465434
不容,8,8,0.7665996702538976
邱鼎泰,8,8,0.7663448753389227
畢業,8,6,0.7663312538803135
國慶,9,7,0.7662630879644878
高階機種,9,8,0.7660727136398549
未破,8,7,0.7653318902234078
自駕車,8,8,0.7652120687186615
分批,10,8,0.7651647454838938
促銷,8,8,0.7651406670492592
價款,9,7,0.7647200348326516
購元大,18,12,0.7646679606857099
單鏡頭,8,8,0.7645372279835664
成果,10,10,0.7645161842457072
學習,14,10,0.7644860150355395
電線,8,8,0.7643424365465157
被迫,9,9,0.763517926703445
而產品,9,9,0.763142850067689
外國,8,8,0.7631291395059172
金開發,9,8,0.7628638740818561
增股,9,8,0.7625483517599454
據點,9,8,0.7621917667144295
擇優,8,8,0.7614348805563735
為華邦,12,11,0.761431376232776
單滿,8,8,0.761200536216512
上班,10,9,0.7607996373383843
應逢,9,7,0.7606792690842621
茅台,9,7,0.7606623062264793
晶技,8,8,0.7597938351608122
雙創,8,8,0.7596140406810179
現金殖,9,8,0.7592648861556419
品質,9,8,0.7592153536439454
中瞬間,8,7,0.7590866859966576
享有,10,10,0.7586644832763036
居易,8,7,0.7585717673973821
碩新,8,7,0.757759017556594
特色,8,8,0.7575667040099692
鞋材,8,8,0.7575024976979091
太空梭,8,7,0.75712541019266
週三上,8,8,0.7569293560863831
股年,8,8,0.7563715524236199
凸顯,8,8,0.7557648555782118
股價淨值,8,7,0.7557262378298006
農業,9,8,0.7556712840735959
社會,12,7,0.755585982431453
侵犯,9,6,0.7554630194093971
損賣,9,6,0.754783228850392
停歇,11,10,0.7543590242473148
獲大單,8,7,0.7542864592747223
隆電凱,9,9,0.7541849432530647
紅收,8,8,0.7540169110949101
電氣,8,7,0.7535868140611299
假將,10,9,0.7535735192124297
簽訂,8,6,0.7513289138427801
斥資,9,8,0.7511947673287186
部長,10,7,0.7507466092966537
油電氣,10,9,0.7507407798239187
商務,9,9,0.750247501857753
子弟兵,9,9,0.7501271622891954
這項,8,8,0.7501057871846155
挪移,8,8,0.7498142872394901
資產負,8,7,0.749196561961986
營收優,8,8,0.7488405119944163
勞工,9,6,0.7488239326248558
泰博,9,8,0.7474919541754166
天大,9,9,0.747437908450326
東訊,9,7,0.7465489231912282
新鈞,9,9,0.7460903476189216
收月,9,9,0.7460706585484553
財富,8,6,0.7456620513101111
雪上加霜,9,9,0.744684286828056
股反彈,8,8,0.7441615699895601
悄悄,8,7,0.7439967331478912
發表前,8,5,0.7436871335428559
收觀察盤面,11,11,0.7434408838266041
定位,10,4,0.7428490197005789
僵持,8,7,0.742813581249516
低利率,10,10,0.742655545160423
檔黃金,9,9,0.7426224265180194
立委,10,9,0.7424751925809594
第一名,9,8,0.741900930359448
