token,tf,df,tf-idf
大幅,77,56,3.5979835811389345
波段,57,45,3.5796719548813103
世界,76,39,3.5706539294087145
提供,104,53,3.5669427795944704
年度,65,53,3.5623177792610146
一步,75,66,3.560532181917451
匯率,67,38,3.5335485191834715
十大,69,36,3.5245342093375265
取得,77,57,3.520014757460313
下滑,66,55,3.4987985363293608
就是,87,58,3.4969836251509796
可成,56,41,3.4862997647828116
力道,57,48,3.469762389174872
出席,65,46,3.469696648580706
龍頭,66,59,3.4621913707889282
操作,64,47,3.459058210466564
最低,51,36,3.459044301638444
庫存,56,42,3.442545469009165
舉行,72,66,3.427513297571383
隨著,69,60,3.4202560533894766
核准,50,22,3.407000524721484
其他,84,72,3.394874861541509
第一,81,62,3.364824248317311
觀察,69,57,3.3626179670905723
英文,83,33,3.361448829042878
漲元,46,33,3.356620640510673
布局,75,52,3.3531905584232433
尤其,62,50,3.344207217385983
盤中,53,46,3.335322747107423
基本面,59,41,3.33442758882694
中小型,47,26,3.3278529049342565
領先,58,47,3.315769814083367
支撐,53,41,3.3130851023692443
造成,67,50,3.3104168488572223
甚至,77,66,3.297386552797044
走揚,53,43,3.2888511333757573
多頭,50,38,3.276487432111392
電奈米,52,36,3.2649485516643924
因為,87,57,3.2509621105061957
同時,67,59,3.247135214900923
南台,51,32,3.233924944058045
挑戰,54,48,3.2204246759612905
之下,53,45,3.2180794361767626
電在,54,48,3.2144952878755895
計畫,72,48,3.2103193398223846
動能,60,50,3.2017123645337175
申請,80,24,3.201508937760709
日本,69,48,3.19977864123478
股表現,49,40,3.1989796652153046
電股,43,42,3.1977391377717965
聯發,64,49,3.1949979200364917
超億元,46,28,3.1869762426931514
本周,45,33,3.1751954378880956
專利,77,15,3.1736822174166526
研究,80,49,3.1728379254994628
關鍵,79,62,3.1703834096156664
群益,42,21,3.1606526362478435
證券,52,41,3.159998919726878
使得,61,54,3.1446010141258656
進行,74,64,3.135239616941931
淡季,49,36,3.1330688250021628
旺季,54,42,3.1141328666743133
開高,47,33,3.110661498568287
日前,62,55,3.080746934858169
投信,46,33,3.0801620673120773
占率,58,37,3.075843713507953
普遍,51,46,3.0745536958024013
萬元,67,34,3.070344168049384
正式,60,52,3.068441430736871
代表,59,48,3.0549726024085544
智慧型,54,36,3.0531421506136147
調薪,64,7,3.0430756009582423
英國,54,38,3.0378756318194493
看法,54,43,3.031276011765495
衝擊,57,44,3.030621027627993
高峰,44,33,3.017671500469275
先進,61,43,3.0135215321740914
美系,45,19,3.0131693417325187
股盤,46,29,3.010577330672067
加碼,49,31,2.9899892903245187
投入,63,45,2.9831802200230535
第季合,41,33,2.9785199689007595
出貨,49,42,2.9752885671258693
