token,tf,df,tf-idf
消保處,24,7,1.607965787865977
曼谷,20,12,1.6075196197552801
看好,29,25,1.6067264823134202
去年同期,27,16,1.606029665575381
卡號,27,21,1.6048730058283422
即將,29,25,1.604795965784755
之一,38,37,1.6034091855368091
會員,26,20,1.6005515421476435
代碼化,25,18,1.6002470605167631
客服,35,20,1.600107534094232
地震,27,16,1.59944098749774
今年底,31,25,1.5989853556465485
升級,33,27,1.5983060749464073
各界,32,22,1.5969731740731758
展延,28,5,1.5948514592940264
管道,33,25,1.59481586657795
兩大,29,24,1.5928617466852577
咖啡,24,14,1.5922885596240783
特約,24,12,1.5915711672059318
考量,34,29,1.5900168351193973
既有,29,21,1.5872629226285437
電池,68,3,1.5855680810855601
辦卡,23,13,1.5822739964893737
上半年,26,16,1.5804300433178675
合庫,31,10,1.580080236745017
當地,29,18,1.5798319758248396
至今,36,31,1.5786965381959532
這項,34,27,1.5783173708707285
泰世華,26,21,1.5769825658033771
比重,27,20,1.5767000474897537
不到,40,36,1.5760566876703421
印度,31,10,1.5760206553978622
這是,38,30,1.575885267575316
過程,35,28,1.5743159494815455
至少,35,25,1.5738216875697855
加值,31,17,1.572835544306066
東京,27,18,1.570174618216622
查詢,31,22,1.5696050284390601
非常,35,31,1.56817387175324
出席,37,32,1.5676319488775778
能力,49,30,1.567257075967801
期限,31,22,1.5662803062598685
研究,43,27,1.5653414524369849
電子票,24,21,1.5613149326247322
這個,37,29,1.5589858858908618
現在,41,34,1.552972590931402
街口,30,6,1.5516468708928344
第一家,27,22,1.5426809841497289
影城,28,8,1.5404938641221475
借貸,29,13,1.5368401449320865
通訊,32,23,1.535052728846264
跨行,25,13,1.5269499883187547
數量,30,27,1.5263716425118379
而言,36,28,1.5236534490695492
加速,32,29,1.523616918106351
旅行社,24,16,1.520854744971173
即使,34,31,1.517294868389255
獎項,31,17,1.5153859959889124
上午,32,20,1.5136730937198615
持有,29,26,1.512703282844439
原本,37,33,1.5119807557285259
保單,28,13,1.5103411583123867
尚瑞強,20,7,1.5091579302179443
公升,30,10,1.5088924542556412
事件,29,19,1.5050632254909435
雜誌,31,15,1.5046278458893314
速度,33,25,1.5036810300991315
大數據,28,18,1.501295203857523
這次,31,24,1.4998350514539458
掃碼,24,12,1.4994511285127685
公告,26,18,1.4992672136660086
同樣,33,29,1.4925033999664077
很多,42,32,1.492336411224692
獎金,25,17,1.4920672898276086
新竹,25,11,1.4890776743204657
台南,28,17,1.4886063327487096
最好,38,31,1.487958749061894
比例,34,24,1.4868103814624896
總裁,27,21,1.4867619902771592
上海,28,16,1.4866588106458571
運用,34,27,1.486478549203708
保費,25,13,1.4849297727566797
紀錄,27,23,1.4820919547386666
一起,33,26,1.4813827329993374
經濟部,29,16,1.481352740078732
匯入,24,12,1.4790028677465028
觀光,32,21,1.475591978265819
放款,28,19,1.4752941037580725
資策,25,14,1.471694070909776
社群,32,19,1.470624531273449
朋友,28,13,1.4700630476352177
登錄,27,19,1.469917951671021
同步,34,27,1.469798723712077
公平,26,14,1.468384679609196
付費,30,21,1.467475581887553
排名,28,20,1.4668382178377186
邀請,33,29,1.4653739764360574
經驗,33,28,1.4627160794545304
採用,29,21,1.46239117197098
無限卡,22,10,1.4613746463448514
收到,35,26,1.4603661905243432
投入,39,33,1.4600486627799836
公股,27,16,1.4559316660518185
樂天,20,6,1.449051638739644
每股,25,14,1.4483133622529754
重新,31,23,1.4472928501176767
說明,30,25,1.4419687345742487
歷史,25,22,1.4370529337423585
階段,28,22,1.4367302679036855
將會,30,26,1.4360408652010235
超級,27,11,1.4345034361818754
累計,26,19,1.4324501626480626
昨天,26,17,1.4324473241533784
行為,33,23,1.4320080482368815
出現,35,30,1.4308440849867496
圖書館,30,4,1.429706765580919
日圓,23,6,1.4288251088259696
汽車,29,21,1.4274254496656433
銀行業,29,19,1.426487723582799
歐洲,26,11,1.4250567192197248
透露,30,27,1.4249577909932822
好康,25,21,1.4248267693001953
修正,28,18,1.423360495347153
快樂,23,12,1.420323496076654
可用,27,24,1.418682626482458
五大,28,20,1.4186685423098429
營運,34,25,1.4184970832716877
太平洋,25,12,1.4171972282838898
知名,28,24,1.4162796263775037
御璽,25,17,1.407137113621235
持卡,23,18,1.4066454115058344
官方,28,22,1.4050705640776473
但是,37,30,1.4009625134972994
儲存,22,15,1.400432430957506
價格,29,25,1.3961123056987579
龍頭,26,19,1.3881400480422672
案件,32,17,1.3871258951252157
里程,19,13,1.3869729391282033
數位化,27,20,1.386725719452579
方向,32,17,1.385730664858872
子女,31,10,1.3851591845512154
座位,33,5,1.3847482789654202
尚未,27,25,1.383665809912175
取代,29,21,1.3835891686538728
帳款,19,10,1.3835235248237079
每個,33,26,1.3820951381133433
營業,26,20,1.3808779995244345
受災,23,11,1.3806696352332988
境內,28,9,1.3799928515892903
知道,37,23,1.3744900414958072
日期,27,17,1.3742426504042433
證券,26,14,1.3736302691446187
關鍵,41,30,1.3733540890638438
結果,32,26,1.373105878167919
特定,29,21,1.3729445796112918
亞太區,28,15,1.370446160181663
轉型,30,21,1.3701944886650064
還是,34,27,1.3661678794070848
主打,26,22,1.364566802051983
一樣,37,32,1.3621944600767866
去年底,26,20,1.3618383015648463
房網,26,4,1.3616767356131119
基礎,27,24,1.3586641242699045
空間,31,25,1.3565692985687996
具備,24,19,1.356478040876982
普及率,22,16,1.3560326579881203
還要,25,23,1.355679959648826
普及,27,26,1.3520967368012577
肯定,32,20,1.3512093196982158
南台,18,12,1.348612650777507
據點,22,17,1.3475552667662545
基本,27,22,1.3429930202119482
目的,28,25,1.342926899849793
文件,25,17,1.340832386855342
條碼,22,12,1.3366815911822691
人次,28,18,1.3352875082502627
開發,37,28,1.3336325997705034
想要,42,25,1.3326101814901268
愈來,22,18,1.3315770808666645
開賣,18,15,1.330378570924843
所以,34,28,1.3290420285843088
大哥大,20,9,1.3289675078312397
運動,23,10,1.3266768502518542
內業者,20,14,1.3260437732498875
只有,35,31,1.3241816634867738
投資人,22,11,1.3240536113929688
輕人,23,16,1.3213414783799844
親節,22,15,1.3210092928172992
無現,21,15,1.320508216424811
行庫,24,13,1.3180698503260002
虛擬,26,20,1.3146242111117783
課程,24,12,1.3135760650834127
航空公司,22,15,1.3122078905192867
核心,31,22,1.311952131694905
導入,26,23,1.3118921845352716
日止,21,17,1.311056431466619
上述,24,21,1.3082982491958914
操作,26,23,1.3077568958305659
資源,29,26,1.3059742005263073
泰國,20,14,1.3055253174154136
公共,28,12,1.3043147751052184
官網,24,19,1.3042216926057186
這張,20,14,1.3034498985183398
執行,27,21,1.3013236291383365
帶來,30,24,1.3008155675346336
實際,27,25,1.3006622408408923
只能,30,24,1.2959785769613865
最近,26,21,1.2948505157893688
不必,22,17,1.2927007555569894
公益,26,15,1.2916508812566456
所得,22,16,1.2908557823354672
固定,18,12,1.2907941884809069
