token,tf,df,tf-idf
勁升,10,10,1.1260145537236352
找到,16,14,1.1256686077919653
力旺,9,3,1.1256510697141877
億日圓,16,10,1.125569680865466
結合,16,11,1.1255288896992157
不得,18,13,1.1253230404097891
被迫,14,14,1.1249500809511699
七天,8,5,1.124646481916929
發言人,16,15,1.124422602633179
低位,12,11,1.1228813988360373
外資賣,12,9,1.1222947111515857
軌道,15,14,1.1222245334602694
亞太,17,14,1.1221069145848424
舒緩,11,10,1.1209734538199418
大阪,18,8,1.1209117193416736
遭到,17,16,1.1207662026475818
晶圓廠,15,4,1.1201149798838976
超合計,8,8,1.119769031480616
韓元續,8,8,1.1194189362686318
經濟將,15,13,1.1193283709385449
天數,13,11,1.1184305724964687
八月,10,9,1.1177194525991234
股行情,13,11,1.1175317835301295
表演,9,8,1.1175098206682093
澳盛,14,8,1.1172969573022173
公室,14,12,1.1167174883400508
網友,16,6,1.1162770228199024
出售,15,14,1.1160728442950212
連跌,12,11,1.115281719855571
桂先農,14,5,1.112775238017859
穩中,10,9,1.1124688732343921
摩根士丹利,14,11,1.1121133390616034
變得,14,14,1.1118831758591368
今明,13,11,1.110882320579571
商務,19,13,1.1108352711477576
銷量,14,11,1.1107347455007581
亞太地區,15,12,1.1105711514991368
質疑,13,10,1.1099963817556113
將面,14,13,1.1096123804989686
下修,12,12,1.1091280781937516
第五,15,14,1.1088963418548607
跨國,17,11,1.1084741118456534
紐西蘭,12,10,1.1082237259831302
得主,21,6,1.108197572752557
選人川,13,13,1.107377309396511
演出,8,8,1.1071202923950552
母公司,19,14,1.1069812516116244
一切,14,11,1.1066976522614131
股今,11,10,1.1063400155137504
主義,17,14,1.1050382479543759
上次,12,12,1.1046226458559563
定期,19,16,1.104296401132785
展現,14,14,1.1040404298365123
觀察外,12,12,1.1032298372113698
詹庭禎,14,7,1.1020152377712726
退場,13,13,1.1012454889141805
減持,15,12,1.1005834891273505
差異,18,14,1.1005220457617741
前一天,11,8,1.100368424181308
阻止,14,14,1.0988170702633182
盈餘元,13,12,1.0978810946156576
大力,16,13,1.0967669958928528
地介,6,5,1.0965785542726307
不受,17,14,1.09601735786347
小心,13,13,1.0950046449230273
供給,16,16,1.0947620736674553
混亂,14,11,1.094020004657739
確保,14,13,1.0935295956456834
扭轉,12,11,1.093369104746371
市況,16,15,1.0925508686396317
團費,15,4,1.092308838786169
招募,15,7,1.091670221743183
幣貶,8,8,1.091068576980314
人均,18,9,1.0906097594534119
匯價連,5,5,1.0901779487673868
超出,13,12,1.0883135490101927
自身,21,16,1.0880932100001477
僅次,16,15,1.0874346907046246
跌到,12,9,1.0869500722656764
致力,15,13,1.0869061607451482
稅後盈餘為,12,8,1.086590509280255
撤離,11,9,1.0861548949801216
雙率,15,9,1.0860527706365075
不安,13,12,1.0858258661178235
人幣,12,9,1.0857858227368045
早上,10,9,1.085320008883972
元漲,11,9,1.0839693707082998
月薪,12,6,1.0834286975702685
電商,25,6,1.083404158054246
入主,13,11,1.0831055807017087
連日來,9,9,1.0826419950742827
退休,18,7,1.0824641681903522
貨信,12,7,1.0823059456738684
組成,14,14,1.0809604158142796
歷經,13,13,1.0808688333463214
大約,19,18,1.0801017342650703
收黑,11,10,1.0799167654641781
台灣股,7,6,1.0796841406962887
昨晚,13,10,1.0795144251065618
寫下,11,8,1.0790061059196148
越南盾,9,5,1.0781846938952946
困境,17,17,1.076505662402044
先生,9,4,1.0763025610263164
進出,11,10,1.0752307896020277
減產協議,11,9,1.075137947680681
價應,12,12,1.07472472980323
傷害,17,14,1.0741731380209323
預定,15,15,1.0709191782492848
赤字,17,14,1.070703809479383
率則,11,11,1.069479171691978
